id,text,normalized_text,orig_label,label,label_id
uit_001221,"tao biết trước là nó sẽ lao vào màn hình mà , vậy nên tâm vẫn tỉnh lúc nó lao vào .","tao biết trước là nó sẽ lao vào màn hình mà , vậy nên tâm vẫn tỉnh lúc nó lao vào .",enjoyment,happiness,2
uit_005036,còn tôi tự nhủ dù lớp học tự ý bỏ về hết tôi cũng phải ở lại học đến tiết cuối cùng . hết giờ tôi cứ ngồi đó rồi từ từ bước chậm ra cửa ngoái đầu nhìn lại .,còn tôi tự nhủ dù lớp học tự ý bỏ về hết tôi cũng phải ở lại học đến tiết cuối cùng . hết giờ tôi cứ ngồi đó rồi từ từ bước chậm ra cửa ngoái đầu nhìn lại .,sadness,sadness,3
uit_002010,có ai biết 2 người này không ạ ?,có ai biết 2 người này không ạ ?,other,neutral,4
uit_003169,per kỷ niệm khó quên nhỉ kkk,per kỷ niệm khó quên nhỉ kkk,enjoyment,happiness,2
uit_003022,"per mất dậy vãi , lớn lên nó sẽ biết nó làm như này trên tv là không hay","per mất dậy vãi , lớn lên nó sẽ biết nó làm như này trên tv là không hay",anger,anger,0
uit_002802,""" tim anh em lấy em chơi , quả báo đến sớm em ơi ...""",""" tim anh em lấy em chơi , quả báo đến sớm em ơi ...""",other,neutral,4
uit_000689,cưng xỉu ??,cưng xỉu ??,enjoyment,happiness,2
uit_004132,đau bụng vãi hix,đau bụng vãi hix,sadness,sadness,3
uit_000895,"per đường đi về anh ợ , ô tô chắn hết đg chả đi được ??","per đường đi về anh ợ , ô tô chắn hết đg chả đi được ??",other,neutral,4
uit_002492,mày làm tao buồn đó per ??,mày làm tao buồn đó per ??,sadness,sadness,3
uit_003781,đau đớn quá sao phải tham mấy đồng tiền đó nhỉ,đau đớn quá sao phải tham mấy đồng tiền đó nhỉ,sadness,sadness,3
uit_002856,per thể loại tao thích nè nhưng mày đi coi với tao nha không tao khóc thét rạp,per thể loại tao thích nè nhưng mày đi coi với tao nha không tao khóc thét rạp,fear,fear,1
uit_004177,per câu chuyện ngắn gọn trọn tình 😂😂,per câu chuyện ngắn gọn trọn tình 😂😂,enjoyment,happiness,2
uit_004739,pháp năm nay nhiều biến quá :((,pháp năm nay nhiều biến quá :((,sadness,sadness,3
uit_004880,cần lắm nhiều vụ ly hôn như thế 😂😀😀😁🤣🤣,cần lắm nhiều vụ ly hôn như thế 😂😀😀😁🤣🤣,enjoyment,happiness,2
uit_003845,"ai cho mình xin tên phim với , mình không xem được 😢","ai cho mình xin tên phim với , mình không xem được 😢",sadness,sadness,3
uit_005077,sao không xúm lại rỉa lông tụi đầu bếp nhỉ .,sao không xúm lại rỉa lông tụi đầu bếp nhỉ .,other,neutral,4
uit_003811,yêu hay không yêu không yêu hay yêu nói 1 lời 😂,yêu hay không yêu không yêu hay yêu nói 1 lời 😂,enjoyment,happiness,2
uit_001523,em chờ được mà 🙂,em chờ được mà 🙂,enjoyment,happiness,2
uit_000589,nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ,nếu là tao thì nhảy cẩng lên chuẩn mẹ rồi :)) má nhìn trong hình tưởng ma thật ở ngoài đéo biết như lào luôn ớ,fear,fear,1
uit_002050,lòng đường là để giao thông chứ để nhà các bác đỗ xe à ?,lòng đường là để giao thông chứ để nhà các bác đỗ xe à ?,anger,anger,0
uit_004872,đúng . a có tầm nhìn . tâm nữa . mình biết,đúng . a có tầm nhìn . tâm nữa . mình biết,enjoyment,happiness,2
uit_004353,diệp ngọc miutokool dautay đây là gì ?,diệp ngọc miutokool dautay đây là gì ?,other,neutral,4
uit_000686,tao cũng phải về mở cho mẹ tao coi 😂😂,tao cũng phải về mở cho mẹ tao coi 😂😂,enjoyment,happiness,2
uit_000829,mua được bộ đồ cho tết điệu đà tán gái mà như thế nào đây thì tán sao được,mua được bộ đồ cho tết điệu đà tán gái mà như thế nào đây thì tán sao được,other,neutral,4
uit_004640,"hỏi thì hỏi cho khôn , hỏi mà như vả thẳng vào mặt người ta :))","hỏi thì hỏi cho khôn , hỏi mà như vả thẳng vào mặt người ta :))",anger,anger,0
uit_001731,lạy chúa con còn lứa tuổi học sinh,lạy chúa con còn lứa tuổi học sinh,other,neutral,4
uit_001568,rơi mất tim . nguy hiểm thiệt ^^,rơi mất tim . nguy hiểm thiệt ^^,fear,fear,1
uit_003724,per nghe chưa nhân viên mới ... kk,per nghe chưa nhân viên mới ... kk,enjoyment,happiness,2
uit_003605,buồn cười vãi ý,buồn cười vãi ý,enjoyment,happiness,2
uit_000851,vào sg 50k / không cũng mua . 100k / không cũng mua ! ha ha,vào sg 50k / không cũng mua . 100k / không cũng mua ! ha ha,enjoyment,happiness,2
uit_005130,xịt nước là ướt rồi,xịt nước là ướt rồi,other,neutral,4
uit_000590,cuộc tình ngang trái của nhà tớ đây ??,cuộc tình ngang trái của nhà tớ đây ??,other,neutral,4
uit_002556,ờ thì 1 con ngựa ăn cả tàu bỏ cỏ vì con ngựa nó ăn hết cỏ rồi 😂😂😂,ờ thì 1 con ngựa ăn cả tàu bỏ cỏ vì con ngựa nó ăn hết cỏ rồi 😂😂😂,other,neutral,4
uit_005271,chúng mày cứ cười . dm mai gần đấy có biến lại thấy anh ấy trong bộ cảnh phục thì lại tung hô quả nằm vùng quá đẳng cấp 😂😂😂,chúng mày cứ cười . dm mai gần đấy có biến lại thấy anh ấy trong bộ cảnh phục thì lại tung hô quả nằm vùng quá đẳng cấp 😂😂😂,enjoyment,happiness,2
uit_001592,tao ngự ở trong uống nước cho nhàn thân rồi,tao ngự ở trong uống nước cho nhàn thân rồi,enjoyment,happiness,2
uit_004876,đi đâu cũng gặp mấy cái thứ,đi đâu cũng gặp mấy cái thứ,anger,anger,0
uit_000631,nhưng nó cười với đứa khác không phải mày .... 💔,nhưng nó cười với đứa khác không phải mày .... 💔,sadness,sadness,3
uit_000532,"yeahh , được mở lại fan cứng rồi =)))","yeahh , được mở lại fan cứng rồi =)))",enjoyment,happiness,2
uit_004471,dễ thương vãiiiiiiiii,dễ thương vãiiiiiiiii,enjoyment,happiness,2
uit_003967,năm nào cũng mua 2 cái đăng ảnh sống ảo xong cất ăn chống đói dần dần :),năm nào cũng mua 2 cái đăng ảnh sống ảo xong cất ăn chống đói dần dần :),enjoyment,happiness,2
uit_002155,chỉ khổ các con thôi !! sao người ta lại có thể mất nhân tính như vậy,chỉ khổ các con thôi !! sao người ta lại có thể mất nhân tính như vậy,sadness,sadness,3
uit_000263,"ổng để móng có 1 bàn tay thôi còn bàn tay kia vẫn sạch sẽ bình thường mà các cụ cứ hỏi chùi đít , đanh răng , quay tay kiểu gì là sao :))","ổng để móng có 1 bàn tay thôi còn bàn tay kia vẫn sạch sẽ bình thường mà các cụ cứ hỏi chùi đít , đanh răng , quay tay kiểu gì là sao :))",other,neutral,4
uit_002281,phải chi quán đầu tư cái máy hút bụi thì đỡ cho anh ấy quá =))),phải chi quán đầu tư cái máy hút bụi thì đỡ cho anh ấy quá =))),other,neutral,4
uit_002884,ê có khi nào đọc bài này xong buồn cười quá cười toác hàm có khi nào đi bệnh viện không các cụ :v,ê có khi nào đọc bài này xong buồn cười quá cười toác hàm có khi nào đi bệnh viện không các cụ :v,enjoyment,happiness,2
uit_001255,sao ảnh này nhìn con rắn đáng yêuc vãi :))),sao ảnh này nhìn con rắn đáng yêuc vãi :))),enjoyment,happiness,2
uit_003566,"đã từng nhưng 10 năm về trước cơ , buồn ghê","đã từng nhưng 10 năm về trước cơ , buồn ghê",sadness,sadness,3
uit_000839,giờ mới biết,giờ mới biết,other,neutral,4
uit_003925,24 tuổi thấy đời đắng và khá mặn,24 tuổi thấy đời đắng và khá mặn,sadness,sadness,3
uit_002350,đây là một câu chuyện buồn 🙁,đây là một câu chuyện buồn 🙁,sadness,sadness,3
uit_000652,là gặp đúng người nhưng lại chẳng đúng thời điểm . cuối cùng vẫn là chúng ta bỏ lỡ nhau 😥😥😥,là gặp đúng người nhưng lại chẳng đúng thời điểm . cuối cùng vẫn là chúng ta bỏ lỡ nhau 😥😥😥,sadness,sadness,3
uit_002638,"per cố gắng lên nha anh , mọi điều tốt đep đang chờ anh 💓💓","per cố gắng lên nha anh , mọi điều tốt đep đang chờ anh 💓💓",enjoyment,happiness,2
uit_004289,máy xay sinh tố chớ gì .,máy xay sinh tố chớ gì .,other,neutral,4
uit_000246,"chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ","chủ động nói chuyện , nhắn tin khi có time . nhưng đời không như mơ",sadness,sadness,3
uit_004221,và tôi đã mất đi 1 người như thế .,và tôi đã mất đi 1 người như thế .,sadness,sadness,3
uit_004243,t cười ỉa ...🤣🤣,t cười ỉa ...🤣🤣,enjoyment,happiness,2
uit_004000,thật là đáng sợ,thật là đáng sợ,fear,fear,1
uit_001661,cái kết có hậu quá :)),cái kết có hậu quá :)),enjoyment,happiness,2
uit_005103,"cấp 1 hiền lành ít nói , ngồi gần 1 cô bé cái gì cũng nhường cô ấy , nhường đến mức nhường luôn tập sách , để bà già phải dẫn ra nhà nó lấy lại ! 😂😂😂","cấp 1 hiền lành ít nói , ngồi gần 1 cô bé cái gì cũng nhường cô ấy , nhường đến mức nhường luôn tập sách , để bà già phải dẫn ra nhà nó lấy lại ! 😂😂😂",enjoyment,happiness,2
uit_000025,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂","hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",sadness,sadness,3
uit_003047,tôi nói với các ông nhé . dắt bộ qua chốt cũng chưa chắc ngon ăn per,tôi nói với các ông nhé . dắt bộ qua chốt cũng chưa chắc ngon ăn per,other,neutral,4
uit_003681,thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy,thế 1 đứa con trai bỏ thời gian ra nói chuyện thân thiết với 1 đứa con gái không phải là nó thích con đó thì có con cặc nó làm vậy,anger,anger,0
uit_002496,em vẫn nhớ cái bếp này kkk,em vẫn nhớ cái bếp này kkk,enjoyment,happiness,2
uit_002743,tiếc là 23 cái xuân rồi chưa gặp được em . có ai giống tôi không,tiếc là 23 cái xuân rồi chưa gặp được em . có ai giống tôi không,sadness,sadness,3
uit_004121,cái gì nó cũng có hạn sử dụng cả 🙂,cái gì nó cũng có hạn sử dụng cả 🙂,other,neutral,4
uit_001153,chất đó có làm mềm não không ?,chất đó có làm mềm não không ?,other,neutral,4
uit_003264,không biết s chứ ngày lúc 17t tao đi phục vụ phòng karaoke ... mình tao 2 phòng chạy qua chạy lại mệt quá vì xỉn ... kkk . thế là tao nghỉ trong ngày đầu vào phục vụ karaoke .🤣🤣🤣,không biết s chứ ngày lúc 17t tao đi phục vụ phòng karaoke ... mình tao 2 phòng chạy qua chạy lại mệt quá vì xỉn ... kkk . thế là tao nghỉ trong ngày đầu vào phục vụ karaoke .🤣🤣🤣,enjoyment,happiness,2
uit_000399,bật lửa thời chưa được thu nhỏ,bật lửa thời chưa được thu nhỏ,other,neutral,4
uit_001009,xem mà cuối phim thấy tội chị ma nữ 😂,xem mà cuối phim thấy tội chị ma nữ 😂,sadness,sadness,3
uit_004233,"tính tao tao biết , chẳng có chuyện gì có thể làm tao phát điên cả","tính tao tao biết , chẳng có chuyện gì có thể làm tao phát điên cả",other,neutral,4
uit_000174,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,ok mà cần gì cứ cắt chất lượng lại thôi vẫn bán giá vậy,other,neutral,4
uit_003269,làm công nhân đã khổ rồi mà tụi nó còn nỡ lòng nào hại người ta nhắn tin,làm công nhân đã khổ rồi mà tụi nó còn nỡ lòng nào hại người ta nhắn tin,sadness,sadness,3
uit_002913,là nhìn người ta đi cạnh 1 cô gái mà bất lực không thể làm gì ngoài việc ngồi nhìn và mỉm cười,là nhìn người ta đi cạnh 1 cô gái mà bất lực không thể làm gì ngoài việc ngồi nhìn và mỉm cười,sadness,sadness,3
uit_004426,bà ma nữ nhập vào nv chính thấy dễ thương dã man 😍😍,bà ma nữ nhập vào nv chính thấy dễ thương dã man 😍😍,enjoyment,happiness,2
uit_004067,"địt mẹ , mình làm khách sạn , lúc vào check phòng kinh vãi lôz . ai họ có ý thức thì không nói , chứ đôi nào mà ...... thì thôi hôm đấy cô dọn phòng xác con mẹ nó định","địt mẹ , mình làm khách sạn , lúc vào check phòng kinh vãi lôz . ai họ có ý thức thì không nói , chứ đôi nào mà ...... thì thôi hôm đấy cô dọn phòng xác con mẹ nó định",anger,anger,0
uit_000929,mấy chị làm chung rất ư là dễ thương luôn,mấy chị làm chung rất ư là dễ thương luôn,enjoyment,happiness,2
uit_002927,"tao tự hỏi sao đứa quay phim nó lại quay đúng lúc thế , chắc chắn nó dự là sẽ nát con xe đó nhưng không nói :))","tao tự hỏi sao đứa quay phim nó lại quay đúng lúc thế , chắc chắn nó dự là sẽ nát con xe đó nhưng không nói :))",other,neutral,4
uit_003139,dume dễ thương vãi ??,dume dễ thương vãi ??,enjoyment,happiness,2
uit_003887,ấn tượng vãi :v bàn tay vàng trong làng vẩy khế :v,ấn tượng vãi :v bàn tay vàng trong làng vẩy khế :v,enjoyment,happiness,2
uit_004605,ghét vãi nồi,ghét vãi nồi,anger,anger,0
uit_000921,"điều đó không quan trọng , quan trọng là đéo xác nhận lời mời kết bạn","điều đó không quan trọng , quan trọng là đéo xác nhận lời mời kết bạn",sadness,sadness,3
uit_001188,thính thơm không,thính thơm không,other,neutral,4
uit_001406,per :)) hiểu được nỗi lòng anh chưa ! mốt đừng giận anh nhiều nữa nha,per :)) hiểu được nỗi lòng anh chưa ! mốt đừng giận anh nhiều nữa nha,enjoyment,happiness,2
uit_005055,em chân thành nên em tổn thương !,em chân thành nên em tổn thương !,sadness,sadness,3
uit_001223,cưng xĩu 😊😊,cưng xĩu 😊😊,enjoyment,happiness,2
uit_002470,"per lắp đi , chứ tốn tiền điện thoại lắm","per lắp đi , chứ tốn tiền điện thoại lắm",other,neutral,4
uit_001642,câu chuyện vui ha =]],câu chuyện vui ha =]],enjoyment,happiness,2
uit_002767,chủ thớt sấp mặt rồi,chủ thớt sấp mặt rồi,sadness,sadness,3
uit_001917,má toàn truyện trong mơ không hà mắc cười quá 😂,má toàn truyện trong mơ không hà mắc cười quá 😂,enjoyment,happiness,2
uit_004255,mẹ đi ngầu chết mẹ đi được chứ kì quặc gì =)))),mẹ đi ngầu chết mẹ đi được chứ kì quặc gì =)))),enjoyment,happiness,2
uit_001961,lò xô xài bằng dầu lửa con gọi là dầu thôi,lò xô xài bằng dầu lửa con gọi là dầu thôi,other,neutral,4
uit_002107,per nhờ mất bạn nên mình mới biết 😂😂😂😂,per nhờ mất bạn nên mình mới biết 😂😂😂😂,enjoyment,happiness,2
uit_003364,per eo ôi làm nhớ hồi nhỏ đi học mẫu giáo quá :))),per eo ôi làm nhớ hồi nhỏ đi học mẫu giáo quá :))),sadness,sadness,3
uit_001304,ngáo như con cáo rồi ????,ngáo như con cáo rồi ????,other,neutral,4
uit_000654,sau này mình có được như vầy không nhỉ 😊,sau này mình có được như vầy không nhỉ 😊,other,neutral,4
uit_002925,why ???? ai đã cướp boss 6 múi của tao vậy 😭😭😭😭,why ???? ai đã cướp boss 6 múi của tao vậy 😭😭😭😭,sadness,sadness,3
uit_000511,anh em để tao hưởng trước nào,anh em để tao hưởng trước nào,enjoyment,happiness,2
uit_003836,chả có tiền mua 😩😩😩,chả có tiền mua 😩😩😩,sadness,sadness,3
uit_004521,đó là khi tao muốn cắn ai đó điên cuồng :),đó là khi tao muốn cắn ai đó điên cuồng :),enjoyment,happiness,2
uit_003233,cả một bầu trời đáng yêu :))))),cả một bầu trời đáng yêu :))))),enjoyment,happiness,2
uit_003248,ước gì được giận lại 😐,ước gì được giận lại 😐,sadness,sadness,3
uit_005094,thả mẹ tay ra :vậy đằng nào em kia cũng không sống nổi 😅,thả mẹ tay ra :vậy đằng nào em kia cũng không sống nổi 😅,other,neutral,4
uit_001438,sau vụ 200k thì vụ 5tr này có nội dung hài hước y hịt :)))),sau vụ 200k thì vụ 5tr này có nội dung hài hước y hịt :)))),enjoyment,happiness,2
uit_001217,khớp vãi =))))))) mặt con bé,khớp vãi =))))))) mặt con bé,enjoyment,happiness,2
uit_004574,23 năm rồi tao còn chưa được đi chơi với bồ trung thu lần nào cả :(,23 năm rồi tao còn chưa được đi chơi với bồ trung thu lần nào cả :(,sadness,sadness,3
uit_004719,nhưng nó giỏi và bản lĩnh đó,nhưng nó giỏi và bản lĩnh đó,enjoyment,happiness,2
uit_000594,"tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha","tao toàn thế giận tao tao dỗi lại , lại phải dỗ tao . hahahaha",enjoyment,happiness,2
uit_003753,chỉ có được cái chữ đẹp . hihihi ...,chỉ có được cái chữ đẹp . hihihi ...,enjoyment,happiness,2
uit_001688,dkm bọn này thất đức thật,dkm bọn này thất đức thật,anger,anger,0
uit_002063,chỉ mong thương nhau đến đầu bạc răng long . vậy là đủ 👌,chỉ mong thương nhau đến đầu bạc răng long . vậy là đủ 👌,enjoyment,happiness,2
uit_005131,hy vọng sẽ mau tìm được anh người yêu thật tốt để 5 năm sau có một gia đình như vậy ❤️❤️,hy vọng sẽ mau tìm được anh người yêu thật tốt để 5 năm sau có một gia đình như vậy ❤️❤️,enjoyment,happiness,2
uit_000406,chạy ngay đi 😒 trước khi bọn chủ tịch vào đây và giả làm con cặc gì đó rồi bị coi thường và chúng mày phải nhận cái kết đấy !!,chạy ngay đi 😒 trước khi bọn chủ tịch vào đây và giả làm con cặc gì đó rồi bị coi thường và chúng mày phải nhận cái kết đấy !!,fear,fear,1
uit_001802,dm đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy ????,dm đã mải đạp xe rồi còn hỏi hoi cái lol gì vậy ????,anger,anger,0
uit_003351,per chị rep khách hàng thế ấy hả 😞 bị bóc phốt rồi,per chị rep khách hàng thế ấy hả 😞 bị bóc phốt rồi,sadness,sadness,3
uit_003363,haiz nuôi được nuôi không thì thôi chứ nuôi mà để v coi được haizz,haiz nuôi được nuôi không thì thôi chứ nuôi mà để v coi được haizz,sadness,sadness,3
uit_000889,cặp phụ lúc nào cũng đáng yêu .,cặp phụ lúc nào cũng đáng yêu .,enjoyment,happiness,2
uit_000902,tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??,tại sao cứ đa số là trèo cột điện với mái nhà nhỉ . ai giải thích mình với ??,other,neutral,4
uit_004065,đâu nhất thiết mỗi cầu đường hả bạn ?,đâu nhất thiết mỗi cầu đường hả bạn ?,other,neutral,4
uit_003991,per nếu bạn chưa có việc làm :v,per nếu bạn chưa có việc làm :v,other,neutral,4
uit_000827,lúc đi họp lớp thì đếu thấy ai,lúc đi họp lớp thì đếu thấy ai,other,neutral,4
uit_000311,dume mặc dù tao rất yêu chó nhưng tao cũng sợ chó nữa :((,dume mặc dù tao rất yêu chó nhưng tao cũng sợ chó nữa :((,fear,fear,1
uit_004508,truyện đặng như kim nèk ... tụi bây còn ăn hiếp anh nữa là hối hận không kịp nhé,truyện đặng như kim nèk ... tụi bây còn ăn hiếp anh nữa là hối hận không kịp nhé,anger,anger,0
uit_005196,nhìn muốn tè ra quần rồi,nhìn muốn tè ra quần rồi,fear,fear,1
uit_001576,với mình đoạn mấy thằng đỡ đẻ là hay nhất,với mình đoạn mấy thằng đỡ đẻ là hay nhất,enjoyment,happiness,2
uit_002441,có sáng tạo :)),có sáng tạo :)),enjoyment,happiness,2
uit_004491,"thank you giỏi quá vì nước quên thân , vì dân phục vụ ...","thank you giỏi quá vì nước quên thân , vì dân phục vụ ...",enjoyment,happiness,2
uit_001676,xem cả chục lần vẫn thấy hạnh phúc lây với cụ bà 😊 không biết mai sau mình có được vậy không,xem cả chục lần vẫn thấy hạnh phúc lây với cụ bà 😊 không biết mai sau mình có được vậy không,enjoyment,happiness,2
uit_001309,cái tháng học sấp mặt luôn,cái tháng học sấp mặt luôn,sadness,sadness,3
uit_004242,có ai như tao không đọc đề thì quen nhưng lại quên phương pháp giải . chắc mất gốc rồi :((,có ai như tao không đọc đề thì quen nhưng lại quên phương pháp giải . chắc mất gốc rồi :((,sadness,sadness,3
uit_004015,tội thằng per vãi,tội thằng per vãi,sadness,sadness,3
uit_001190,"sao mày không viết nhanh lên , mày lấy tay chặn làm gì có giúp mày tốt hơn không hả ???","sao mày không viết nhanh lên , mày lấy tay chặn làm gì có giúp mày tốt hơn không hả ???",anger,anger,0
uit_004101,nó tăng động y như tao dị đó :)),nó tăng động y như tao dị đó :)),enjoyment,happiness,2
uit_002285,nhìn đã thật,nhìn đã thật,enjoyment,happiness,2
uit_004614,buồn hơn thế là đối với 1 đứa con gái năm lần bảy lượt chủ động ib họ nhưng vẫn bị xem thường ... xem mà đéo rep ... hết thương là vậy ... 😞😞😞,buồn hơn thế là đối với 1 đứa con gái năm lần bảy lượt chủ động ib họ nhưng vẫn bị xem thường ... xem mà đéo rep ... hết thương là vậy ... 😞😞😞,sadness,sadness,3
uit_000414,"per chế sợ nó hơn sợ chó , nhớ hồi nhỏ đang đánh răng nó rượt mà cầm ca , bàn chảy , miệng thì đầy kem vừa chạy vừa khóc như con chó","per chế sợ nó hơn sợ chó , nhớ hồi nhỏ đang đánh răng nó rượt mà cầm ca , bàn chảy , miệng thì đầy kem vừa chạy vừa khóc như con chó",other,neutral,4
uit_000123,đa ́ người yêuc quá ́,đa ́ người yêuc quá ́,enjoyment,happiness,2
uit_003622,nhiều khi nghĩ mình không phải con gái mà là 1 thằng đàn ông chính hiệu kkkk ....,nhiều khi nghĩ mình không phải con gái mà là 1 thằng đàn ông chính hiệu kkkk ....,enjoyment,happiness,2
uit_000036,thế em ăn cơm chưa ?,thế em ăn cơm chưa ?,other,neutral,4
uit_002890,đú quan trọng bởi người tao yêu củng không đi chơi valungtung thế là tao vui rồi :)),đú quan trọng bởi người tao yêu củng không đi chơi valungtung thế là tao vui rồi :)),enjoyment,happiness,2
